Fecha,Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"2020-10-07","GALICIA","0-9","0","0%"
"2020-10-07","GALICIA","10-19","0","0%"
"2020-10-07","GALICIA","20-29","0","0%"
"2020-10-07","GALICIA","30-39","2","0,26%"
"2020-10-07","GALICIA","40-49","2","0,26%"
"2020-10-07","GALICIA","50-59","22","2,85%"
"2020-10-07","GALICIA","60-69","47","6,08%"
"2020-10-07","GALICIA","70-79","144","18,63%"
"2020-10-07","GALICIA","80-89","350","45,28%"
"2020-10-07","GALICIA",">=90","206","26,65%"
"2020-10-07","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-07","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-07","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-07","A.S. A CORUÑA E CEE","30-39","1","0,49%"
"2020-10-07","A.S. A CORUÑA E CEE","40-49","1","0,49%"
"2020-10-07","A.S. A CORUÑA E CEE","50-59","5","2,44%"
"2020-10-07","A.S. A CORUÑA E CEE","60-69","17","8,29%"
"2020-10-07","A.S. A CORUÑA E CEE","70-79","45","21,95%"
"2020-10-07","A.S. A CORUÑA E CEE","80-89","87","42,44%"
"2020-10-07","A.S. A CORUÑA E CEE",">=90","49","23,9%"
"2020-10-07","A.S. FERROL","0-9","0","0%"
"2020-10-07","A.S. FERROL","10-19","0","0%"
"2020-10-07","A.S. FERROL","20-29","0","0%"
"2020-10-07","A.S. FERROL","30-39","0","0%"
"2020-10-07","A.S. FERROL","40-49","0","0%"
"2020-10-07","A.S. FERROL","50-59","0","0%"
"2020-10-07","A.S. FERROL","60-69","3","8,82%"
"2020-10-07","A.S. FERROL","70-79","10","29,41%"
"2020-10-07","A.S. FERROL","80-89","14","41,18%"
"2020-10-07","A.S. FERROL",">=90","7","20,59%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,1%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,59%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,58%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE","80-89","42","46,15%"
"2020-10-07","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,57%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","50-59","5","3,07%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","60-69","6","3,68%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","70-79","22","13,5%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO","80-89","77","47,24%"
"2020-10-07","A.S. OURENSE, VERÍN E O BARCO",">=90","53","32,52%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8,7%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","60-69","5","21,74%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","70-79","5","21,74%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS","80-89","10","43,48%"
"2020-10-07","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4,35%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","30-39","1","0,83%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","40-49","1","0,83%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","50-59","3","2,5%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","60-69","7","5,83%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","70-79","21","17,5%"
"2020-10-07","A.S. SANTIAGO E BARBANZA","80-89","61","50,83%"
"2020-10-07","A.S. SANTIAGO E BARBANZA",">=90","26","21,67%"
"2020-10-07","A.S. VIGO","0-9","0","0%"
"2020-10-07","A.S. VIGO","10-19","0","0%"
"2020-10-07","A.S. VIGO","20-29","0","0%"
"2020-10-07","A.S. VIGO","30-39","0","0%"
"2020-10-07","A.S. VIGO","40-49","0","0%"
"2020-10-07","A.S. VIGO","50-59","6","4,38%"
"2020-10-07","A.S. VIGO","60-69","3","2,19%"
"2020-10-07","A.S. VIGO","70-79","25","18,25%"
"2020-10-07","A.S. VIGO","80-89","59","43,07%"
"2020-10-07","A.S. VIGO",">=90","44","32,12%"
"2020-10-08","GALICIA","0-9","0","0%"
"2020-10-08","GALICIA","10-19","0","0%"
"2020-10-08","GALICIA","20-29","0","0%"
"2020-10-08","GALICIA","30-39","2","0,26%"
"2020-10-08","GALICIA","40-49","2","0,26%"
"2020-10-08","GALICIA","50-59","23","2,96%"
"2020-10-08","GALICIA","60-69","48","6,19%"
"2020-10-08","GALICIA","70-79","144","18,56%"
"2020-10-08","GALICIA","80-89","350","45,1%"
"2020-10-08","GALICIA",">=90","207","26,68%"
"2020-10-08","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-08","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-08","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-08","A.S. A CORUÑA E CEE","30-39","1","0,49%"
"2020-10-08","A.S. A CORUÑA E CEE","40-49","1","0,49%"
"2020-10-08","A.S. A CORUÑA E CEE","50-59","5","2,43%"
"2020-10-08","A.S. A CORUÑA E CEE","60-69","17","8,25%"
"2020-10-08","A.S. A CORUÑA E CEE","70-79","45","21,84%"
"2020-10-08","A.S. A CORUÑA E CEE","80-89","87","42,23%"
"2020-10-08","A.S. A CORUÑA E CEE",">=90","50","24,27%"
"2020-10-08","A.S. FERROL","0-9","0","0%"
"2020-10-08","A.S. FERROL","10-19","0","0%"
"2020-10-08","A.S. FERROL","20-29","0","0%"
"2020-10-08","A.S. FERROL","30-39","0","0%"
"2020-10-08","A.S. FERROL","40-49","0","0%"
"2020-10-08","A.S. FERROL","50-59","0","0%"
"2020-10-08","A.S. FERROL","60-69","3","8,82%"
"2020-10-08","A.S. FERROL","70-79","10","29,41%"
"2020-10-08","A.S. FERROL","80-89","14","41,18%"
"2020-10-08","A.S. FERROL",">=90","7","20,59%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,1%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,59%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,58%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE","80-89","42","46,15%"
"2020-10-08","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,57%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,66%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","60-69","6","3,66%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","70-79","22","13,41%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO","80-89","77","46,95%"
"2020-10-08","A.S. OURENSE, VERÍN E O BARCO",">=90","53","32,32%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8,33%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","60-69","6","25%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","70-79","5","20,83%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS","80-89","10","41,67%"
"2020-10-08","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4,17%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","30-39","1","0,83%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","40-49","1","0,83%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","50-59","3","2,5%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","60-69","7","5,83%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","70-79","21","17,5%"
"2020-10-08","A.S. SANTIAGO E BARBANZA","80-89","61","50,83%"
"2020-10-08","A.S. SANTIAGO E BARBANZA",">=90","26","21,67%"
"2020-10-08","A.S. VIGO","0-9","0","0%"
"2020-10-08","A.S. VIGO","10-19","0","0%"
"2020-10-08","A.S. VIGO","20-29","0","0%"
"2020-10-08","A.S. VIGO","30-39","0","0%"
"2020-10-08","A.S. VIGO","40-49","0","0%"
"2020-10-08","A.S. VIGO","50-59","6","4,38%"
"2020-10-08","A.S. VIGO","60-69","3","2,19%"
"2020-10-08","A.S. VIGO","70-79","25","18,25%"
"2020-10-08","A.S. VIGO","80-89","59","43,07%"
"2020-10-08","A.S. VIGO",">=90","44","32,12%"
"2020-10-09","GALICIA","0-9","0","0%"
"2020-10-09","GALICIA","10-19","0","0%"
"2020-10-09","GALICIA","20-29","0","0%"
"2020-10-09","GALICIA","30-39","2","0,26%"
"2020-10-09","GALICIA","40-49","2","0,26%"
"2020-10-09","GALICIA","50-59","23","2,95%"
"2020-10-09","GALICIA","60-69","49","6,28%"
"2020-10-09","GALICIA","70-79","144","18,46%"
"2020-10-09","GALICIA","80-89","350","44,87%"
"2020-10-09","GALICIA",">=90","210","26,92%"
"2020-10-09","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-09","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-09","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-09","A.S. A CORUÑA E CEE","30-39","1","0,48%"
"2020-10-09","A.S. A CORUÑA E CEE","40-49","1","0,48%"
"2020-10-09","A.S. A CORUÑA E CEE","50-59","5","2,4%"
"2020-10-09","A.S. A CORUÑA E CEE","60-69","17","8,17%"
"2020-10-09","A.S. A CORUÑA E CEE","70-79","45","21,63%"
"2020-10-09","A.S. A CORUÑA E CEE","80-89","87","41,83%"
"2020-10-09","A.S. A CORUÑA E CEE",">=90","52","25%"
"2020-10-09","A.S. FERROL","0-9","0","0%"
"2020-10-09","A.S. FERROL","10-19","0","0%"
"2020-10-09","A.S. FERROL","20-29","0","0%"
"2020-10-09","A.S. FERROL","30-39","0","0%"
"2020-10-09","A.S. FERROL","40-49","0","0%"
"2020-10-09","A.S. FERROL","50-59","0","0%"
"2020-10-09","A.S. FERROL","60-69","3","8,82%"
"2020-10-09","A.S. FERROL","70-79","10","29,41%"
"2020-10-09","A.S. FERROL","80-89","14","41,18%"
"2020-10-09","A.S. FERROL",">=90","7","20,59%"
"2020-10-09","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-09","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
